pygaze initiation report start
display resolution: 1920x1080
display size in cm: 34.5x19.7
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
234.6270		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
251.2930		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
267.9590		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
284.6330		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
301.3090		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
317.9870		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
334.6540		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
351.3220		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
367.9900		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
384.6580		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
401.3260		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
417.9930		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
434.6610		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
451.3290		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
467.9990		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
484.6690		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
501.3390		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
518.0070		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
534.6750		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
551.3420		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
568.0070		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
584.6700		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
601.3350		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
618.0030		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
634.6700		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
651.3370		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
667.9900		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
684.6430		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
701.2960		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
717.9710		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
734.6380		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
751.3040		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
767.9700		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
784.6370		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
801.3030		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
817.9700		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
834.6360		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
851.3020		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
867.9650		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
884.6310		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
901.2980		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
917.9640		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
934.6300		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
951.2960		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
967.9610		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
984.6270		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1001.2930		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1017.9590		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1034.6250		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1051.2920		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1067.9590		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1084.6270		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1101.2940		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1117.9620		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1134.6280		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1151.2950		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1167.9580		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1184.6210		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1201.2850		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1217.9480		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1234.6120		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1251.2750		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1267.9410		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1284.6070		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1301.2730		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1317.9390		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1334.6050		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1351.2710		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1367.9360		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1384.6010		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1401.2650		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1417.9300		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1434.5950		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1451.2590		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1467.9240		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1484.5890		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1501.2530		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1517.9170		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1534.5820		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1551.2460		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1567.9120		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1584.5780		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1601.2430		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1617.9090		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1634.5740		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1651.2400		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1667.9060		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1684.5710		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1701.2370		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1717.9030		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1734.5680		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1751.2340		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1767.9010		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1784.5670		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1801.2340		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1817.9010		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1834.5680		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1851.2360		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1867.9030		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1884.5700		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1901.2380		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
